stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
060191001003,S Baumschulenweg (Berlin),52.467581,13.489505,,900000191001
060191001004,S Baumschulenweg (Berlin),52.467581,13.489505,,900000191001
060191001005,S Baumschulenweg (Berlin),52.467581,13.489505,,900000191001
060191002003,S Plänterwald (Berlin),52.478722,13.474029,,900000191002
060191002004,S Plänterwald (Berlin),52.478722,13.474029,,900000191002
060192001004,S Schöneweide Bhf (Berlin),52.454611,13.510149,,900000192001
060192001005,S Schöneweide Bhf (Berlin),52.454611,13.510149,,900000192001
060192001006,S Schöneweide Bhf (Berlin),52.454611,13.510149,,900000192001
060192002001,S Oberspree (Berlin),52.452269,13.538461,,900000192002
060193001003,S Betriebsbahnhof Schöneweide (Berlin),52.446695,13.524028,,900000193001
060193001004,S Betriebsbahnhof Schöneweide (Berlin),52.446695,13.524028,,900000193001
060193002003,S Adlershof (Berlin),52.435102,13.540553,,900000193002
060193002004,S Adlershof (Berlin),52.435102,13.540553,,900000193002
060195510641,S Altglienicke (Berlin),52.407791,13.559602,,900000195510
060195510642,S Altglienicke (Berlin),52.407791,13.559602,,900000195510
060196001651,S Grünbergallee (Berlin),52.399539,13.543222,,900000196001
060196001652,S Grünbergallee (Berlin),52.399539,13.543222,,900000196001
060199018711,S Stresow (Berlin),52.532505,13.209130,,900000030202
060199018712,S Stresow (Berlin),52.532505,13.209130,,900000030202
060200000101,S Hennigsdorf Bhf,52.637866,13.205875,,900000200000
060200000105,S Hennigsdorf Bhf,52.637866,13.205875,,900000200000
060200005030,S Oranienburg Bhf,52.754362,13.248432,,900000200005
060200005032,S Oranienburg Bhf,52.754362,13.248432,,900000200005
060200006101,S Lehnitz,52.741273,13.263191,,900000200006
060200006102,S Lehnitz,52.741273,13.263191,,900000200006
060200007101,S Borgsdorf,52.714491,13.276771,,900000200007
060200007102,S Borgsdorf,52.714491,13.276771,,900000200007
060200008004,S Birkenwerder Bhf,52.687871,13.288417,,900000200008
060200008006,S Birkenwerder Bhf,52.687871,13.288417,,900000200008
060200009003,S Hohen Neuendorf,52.669434,13.287224,,900000200009
060200009004,S Hohen Neuendorf,52.669434,13.287224,,900000200009
060200011001,S Bergfelde,52.669695,13.321455,,900000200011
060200011002,S Bergfelde,52.669695,13.321455,,900000200011
060200012006,S Schönfließ,52.664710,13.338880,,900000200012
060200012008,S Schönfließ,52.664710,13.338880,,900000200012
060200013006,S Mühlenbeck-Mönchmühle,52.654076,13.388224,,900000200013
060220114641,S Teltow Stadt,52.397147,13.275975,,900000220114
060220114642,S Teltow Stadt,52.397147,13.275975,,900000220114
060230000841,S Babelsberg,52.391372,13.094623,,900000230000
060230000842,S Babelsberg,52.391372,13.094623,,900000230000
060230003821,S Griebnitzsee Bhf,52.393988,13.128917,,900000230003
060230003822,S Griebnitzsee Bhf,52.393988,13.128917,,900000230003
060250006003,S Blankenfelde (TF) Bhf,52.337628,13.415908,,900000245027
060250007002,S Mahlow,52.360164,13.408775,,900000245028
060250007003,S Mahlow,52.360164,13.408775,,900000245028
060260001002,S Königs Wusterhausen Bhf,52.296921,13.630568,,900000260001
060260002903,S Wildau,52.319205,13.633587,,900000260002
060260002904,S Wildau,52.319205,13.633587,,900000260002
060260003883,S Zeuthen,52.349441,13.626366,,900000260003
060260003884,S Zeuthen,52.349441,13.626366,,900000260003
060260004873,S Eichwalde,52.372085,13.614966,,900000260004
060260004874,S Eichwalde,52.372085,13.614966,,900000260004
060260005671,S Flughafen Berlin-Schönefeld Bhf,52.390792,13.513522,,900000260005
060260005672,S Flughafen Berlin-Schönefeld Bhf,52.390792,13.513522,,900000260005
060310004903,S Erkner Bhf,52.428396,13.752249,,900000310004
060310004905,S Erkner Bhf,52.428396,13.752249,,900000310004
060310004906,S Erkner Bhf,52.428396,13.752249,,900000310004
060320001001,S Strausberg Nord,52.590700,13.908894,,900000320001
060320001003,S Strausberg Nord,52.590700,13.908894,,900000320001
060320002001,S Strausberg Stadt,52.577450,13.888254,,900000320002
060320003001,S Hegermühle,52.549039,13.866790,,900000320003
060320004008,S Strausberg Bhf,52.532364,13.834793,,900000320004
060320004009,S Strausberg Bhf,52.532364,13.834793,,900000320004
060320005001,S Petershagen Nord,52.529185,13.790627,,900000320005
060320006015,S Fredersdorf,52.526461,13.761324,,900000320006
060320006016,S Fredersdorf,52.526461,13.761324,,900000320006
060320007001,S Neuenhagen,52.520674,13.699994,,900000320007
060320008004,S Hoppegarten,52.518141,13.673889,,900000320008
060320026001,S Birkenstein,52.515755,13.648591,,900000320026
060320026002,S Birkenstein,52.515755,13.648591,,900000320026
060330004131,S Bernau Bhf,52.676233,13.593034,,900000350160
060330004132,S Bernau Bhf,52.676233,13.593034,,900000350160
060330005121,S Zepernick,52.659218,13.533143,,900000350163
060330005122,S Zepernick,52.659218,13.533143,,900000350163
060330006121,S Röntgental,52.649062,13.514302,,900000350162
060330022131,S Bernau-Friedenstal,52.668369,13.564597,,900000350161
900000001201,S+U Westhafen (Berlin),52.536183,13.343837,1,
900000003102,S Bellevue (Berlin),52.519951,13.347098,1,
900000003103,S Tiergarten (Berlin),52.513963,13.336235,1,
900000003201,S+U Berlin Hauptbahnhof,52.525847,13.368924,1,
900000007102,S+U Gesundbrunnen Bhf (Berlin),52.548637,13.388372,1,
900000007104,S Nordbahnhof (Berlin),52.531673,13.388794,1,
900000008101,S Humboldthain (Berlin),52.544742,13.378726,1,
900000009104,S+U Wedding (Berlin),52.542732,13.366060,1,
900000012101,S Anhalter Bahnhof (Berlin),52.504538,13.382077,1,
900000020201,S+U Jungfernheide Bhf (Berlin),52.530275,13.299064,1,
900000020202,S Beusselstr. (Berlin),52.534314,13.328703,1,
900000023201,S+U Zoologischer Garten Bhf (Berlin),52.506921,13.332707,1,
900000024101,S Charlottenburg Bhf (Berlin),52.505052,13.305212,1,
900000024102,S Westkreuz (Berlin),52.501152,13.283036,1,
900000024106,S Messe Nord/ICC (Berlin),52.506454,13.283043,1,
900000024203,S Savignyplatz (Berlin),52.505223,13.319003,1,
900000025321,S Olympiastadion (Berlin),52.511135,13.241111,1,
900000025423,S Messe Süd (Berlin),52.498771,13.270450,1,
900000025424,S Pichelsberg (Berlin),52.510264,13.227196,1,
900000026105,S Heerstr. (Berlin),52.508273,13.258514,1,
900000026207,S Westend (Berlin),52.518610,13.284237,1,
900000029101,S Spandau Bhf (Berlin),52.534798,13.197477,1,
900000030202,S Stresow (Berlin),52.532505,13.209130,1,
900000040101,S Halensee (Berlin),52.496698,13.290151,1,
900000044101,S Hohenzollerndamm (Berlin),52.488314,13.300712,1,
900000044202,S+U Bundesplatz (Berlin),52.477366,13.329149,1,
900000045102,S+U Heidelberger Platz (Berlin),52.479446,13.311843,1,
900000048101,S Grunewald (Berlin),52.488680,13.261944,1,
900000049201,S Zehlendorf (Berlin),52.431209,13.259227,1,
900000049202,S Sundgauer Str. (Berlin),52.436187,13.273501,1,
900000050301,S Mexikoplatz (Berlin),52.437166,13.232060,1,
900000050355,S Schlachtensee (Berlin),52.439806,13.213986,1,
900000052201,S Nikolassee (Berlin),52.431210,13.193298,1,
900000053301,S Wannsee Bhf (Berlin),52.421457,13.179099,1,
900000054104,S Schöneberg (Berlin),52.479811,13.352848,1,
900000054105,S+U Innsbrucker Platz (Berlin),52.478100,13.342875,1,
900000057102,S+U Yorckstr. S1 U7 (Berlin),52.492345,13.367986,1,
900000057104,S Julius-Leber-Brücke (Berlin),52.486263,13.360775,1,
900000058101,S Südkreuz Bhf (Berlin),52.475468,13.365579,1,
900000058102,S Priesterweg (Berlin),52.459239,13.356028,1,
900000058103,S+U Yorckstr. S2 S25 U7 (Berlin),52.492323,13.372226,1,
900000060101,S Friedenau (Berlin),52.470002,13.340598,1,
900000062202,S+U Rathaus Steglitz (Berlin),52.455066,13.322152,1,
900000063101,S Feuerbachstr. (Berlin),52.463578,13.332412,1,
900000063452,S Südende (Berlin),52.448899,13.354077,1,
900000064201,S Lichterfelde Süd (Berlin),52.409956,13.308662,1,
900000064256,S Osdorfer Str. (Berlin),52.418373,13.313865,1,
900000064301,S Lichterfelde Ost Bhf (Berlin),52.429098,13.328078,1,
900000066101,S Lichterfelde West (Berlin),52.443512,13.294141,1,
900000066102,S Botanischer Garten (Berlin),52.447552,13.306041,1,
900000067221,S Lankwitz (Berlin),52.439034,13.342760,1,
900000068201,S+U Tempelhof (Berlin),52.470694,13.385754,1,
900000068301,S Attilastr. (Berlin),52.447298,13.361177,1,
900000072101,S Buckower Chaussee (Berlin),52.410919,13.382689,1,
900000073101,S Marienfelde (Berlin),52.423816,13.375022,1,
900000074201,S Lichtenrade (Berlin),52.387706,13.396358,1,
900000074202,S Schichauweg (Berlin),52.398563,13.389457,1,
900000077106,S Sonnenallee (Berlin),52.473822,13.455998,1,
900000077155,S Köllnische Heide (Berlin),52.469168,13.467529,1,
900000078201,S+U Neukölln (Berlin),52.469282,13.443692,1,
900000079221,S+U Hermannstr. (Berlin),52.467181,13.431704,1,
900000084101,S Wilhelmsruh (Berlin),52.581588,13.363284,1,
900000085105,S Alt-Reinickendorf (Berlin),52.577969,13.349747,1,
900000085201,S Schönholz (Berlin),52.571901,13.380242,1,
900000089303,S Tegel (Berlin),52.588805,13.288695,1,
900000091203,S Heiligensee (Berlin),52.625148,13.228667,1,
900000091205,S Schulzendorf (Berlin),52.613513,13.245630,1,
900000092201,S Frohnau (Berlin),52.632958,13.289564,1,
900000093201,S Hermsdorf (Berlin),52.618165,13.306804,1,
900000094101,S Waidmannslust (Berlin),52.606814,13.320549,1,
900000096101,S+U Wittenau (Berlin),52.596392,13.335481,1,
900000096405,S Eichborndamm (Berlin),52.577545,13.315583,1,
900000096458,S+U Karl-Bonhoeffer-Nervenklinik (Berlin),52.578169,13.332921,1,
900000100001,S+U Friedrichstr. Bhf (Berlin),52.520270,13.387153,1,
900000100002,S Hackescher Markt (Berlin),52.522607,13.402358,1,
900000100003,S+U Alexanderplatz Bhf (Berlin),52.521512,13.411267,1,
900000100004,S+U Jannowitzbrücke (Berlin),52.515500,13.418027,1,
900000100007,S Oranienburger Str. (Berlin),52.525161,13.393068,1,
900000100020,S+U Potsdamer Platz Bhf (Berlin),52.509340,13.376454,1,
900000100025,S+U Brandenburger Tor (Berlin),52.516511,13.381937,1,
900000110001,S+U Schönhauser Allee (Berlin),52.549336,13.415138,1,
900000110002,S Prenzlauer Allee (Berlin),52.544802,13.427419,1,
900000110003,S Greifswalder Str. (Berlin),52.540724,13.438356,1,
