service_id,date,exception_type
1488,20170417,2
1488,20170501,2
1488,20170524,2
1488,20170525,2
1488,20170605,2
1488,20171002,2
1488,20171003,2
1488,20171030,2
1488,20171031,2
1489,20170119,2
1489,20170206,2
1489,20170207,2
1489,20170208,2
1490,20170119,2
1490,20170206,2
1490,20170207,2
1490,20170208,2
1490,20170413,2
1490,20170414,1
1490,20170416,2
1490,20170430,2
1490,20170524,2
1490,20170604,2
1490,20171002,2
1490,20171030,2
1491,20170415,2
1491,20170416,1
1491,20170422,2
1491,20170429,2
1491,20170430,1
1491,20170506,2
1491,20170513,2
1491,20170520,2
1491,20170527,2
1491,20170603,2
1491,20170604,1
1491,20170610,2
1491,20170617,2
1491,20170624,2
1491,20170701,2
1491,20170708,2
1491,20170715,2
1492,20170415,1
1492,20170422,1
1492,20170429,1
1492,20170506,1
1492,20170513,1
1492,20170520,1
1492,20170527,1
1492,20170603,1
1492,20170610,1
1492,20170617,1
1492,20170624,1
1492,20170701,1
1492,20170708,1
1492,20170715,1
1493,20170414,2
1493,20170415,2
1493,20170416,1
1493,20170417,2
1493,20170422,2
1493,20170429,2
1493,20170430,1
1493,20170501,2
1493,20170506,2
1493,20170513,2
1493,20170520,2
1493,20170525,2
1493,20170527,2
1493,20170603,2
1493,20170604,1
1493,20170605,2
1493,20170610,2
1493,20170617,2
1493,20170624,2
1493,20170701,2
1493,20170708,2
1493,20170715,2
1493,20171003,2
1493,20171031,2
1494,20170414,2
1494,20170415,1
1494,20170417,2
1494,20170422,1
1494,20170429,1
1494,20170501,2
1494,20170506,1
1494,20170513,1
1494,20170520,1
1494,20170525,2
1494,20170527,1
1494,20170603,1
1494,20170605,2
1494,20170610,1
1494,20170617,1
1494,20170624,1
1494,20170701,1
1494,20170708,1
1494,20170715,1
1494,20171003,2
1494,20171031,2
1495,20170417,1
1495,20170423,1
1495,20170501,1
1495,20170507,1
1495,20170514,1
1495,20170521,1
1495,20170528,1
1495,20170605,1
1495,20170611,1
1495,20170618,1
1495,20170625,1
1495,20170702,1
1495,20170709,1
1495,20170716,1
1496,20170417,2
1496,20170423,2
1496,20170501,2
1496,20170507,2
1496,20170514,2
1496,20170521,2
1496,20170528,2
1496,20170605,2
1496,20170611,2
1496,20170618,2
1496,20170625,2
1496,20170702,2
1496,20170709,2
1496,20170716,2
1497,20170130,2
1497,20170131,2
1497,20170201,2
1497,20170202,2
1497,20170203,2
1498,20170127,2
1499,20170126,2
1499,20170127,2
1499,20170207,2
1499,20170414,2
1499,20170417,2
1499,20170501,2
1499,20170525,2
1499,20170605,2
1499,20171003,2
1499,20171031,2
1500,20170126,1
1500,20170127,1
1500,20170207,1
1500,20170414,1
1500,20170417,1
1500,20170501,1
1500,20170525,1
1500,20170605,1
1500,20171003,1
1500,20171031,1
1501,20170124,2
1501,20170125,2
1501,20170129,2
1501,20170130,2
1501,20170131,2
1501,20170201,2
1501,20170202,2
1501,20170205,2
1502,20170124,1
1502,20170125,1
1502,20170129,1
1502,20170130,1
1502,20170131,1
1502,20170201,1
1502,20170202,1
1502,20170205,1
1503,20170207,1
1504,20170124,2
1504,20170125,2
1504,20170129,2
1504,20170130,2
1504,20170131,2
1504,20170201,2
1504,20170202,2
1504,20170205,2
1504,20170207,2
1505,20170124,2
1505,20170125,2
1505,20170126,2
1505,20170129,2
1505,20170130,2
1505,20170131,2
1505,20170201,2
1505,20170202,2
1505,20170205,2
1505,20170207,2
1506,20170124,2
1506,20170125,2
1506,20170126,2
1506,20170127,2
1506,20170129,2
1506,20170130,2
1506,20170131,2
1506,20170201,2
1506,20170202,2
1506,20170205,2
1506,20170207,2
1507,20170124,2
1507,20170125,2
1507,20170126,2
1507,20170129,2
1507,20170130,2
1507,20170131,2
1507,20170201,2
1507,20170202,2
1507,20170205,2
1507,20170206,2
1507,20170413,2
1507,20170414,1
1507,20170416,2
1507,20170430,2
1507,20170524,2
1507,20170604,2
1507,20171002,2
1507,20171030,2
1508,20170206,1
1508,20170413,1
1508,20170414,2
1508,20170416,1
1508,20170430,1
1508,20170524,1
1508,20170604,1
1508,20171002,1
1508,20171030,1
1509,20170124,2
1509,20170125,2
1509,20170126,2
1509,20170129,2
1509,20170130,2
1509,20170131,2
1509,20170201,2
1509,20170202,2
1509,20170205,2
1509,20170206,2
1509,20170207,2
1510,20170124,2
1510,20170125,2
1510,20170129,2
1510,20170130,2
1510,20170131,2
1510,20170201,2
1510,20170202,2
1510,20170205,2
1510,20170206,2
1510,20170207,2
1510,20170413,2
1510,20170414,1
1510,20170416,2
1510,20170430,2
1510,20170524,2
1510,20170604,2
1510,20171002,2
1510,20171030,2
1511,20170119,1
1511,20170123,1
1511,20170124,1
1512,20170122,1
1512,20170126,1
1512,20170214,1
1513,20170119,2
1513,20170122,2
1513,20170123,2
1513,20170124,2
1513,20170126,2
1513,20170214,2
1513,20170413,2
1513,20170414,1
1513,20170416,2
1513,20170430,2
1513,20170524,2
1513,20170604,2
1513,20171002,2
1513,20171030,2
1514,20170119,1
1514,20170123,1
1515,20170123,1
1515,20170127,1
1516,20170123,2
1516,20170127,2
1516,20170414,2
1516,20170417,2
1516,20170501,2
1516,20170525,2
1516,20170605,2
1516,20171003,2
1516,20171031,2
1517,20170126,2
1517,20170207,2
1518,20170126,2
1518,20170127,2
1518,20170207,2
1519,20170130,2
1519,20170131,2
1519,20170201,2
1519,20170202,2
1519,20170203,2
1519,20170415,2
1519,20170422,2
1519,20170429,2
1519,20170506,2
1519,20170513,2
1519,20170520,2
1519,20170527,2
1519,20170603,2
1519,20170610,2
1519,20170617,2
1519,20170624,2
1519,20170701,2
1519,20170708,2
1519,20170715,2
1520,20170130,2
1520,20170131,2
1520,20170201,2
1520,20170202,2
1520,20170203,2
1520,20170415,2
1520,20170417,2
1520,20170422,2
1520,20170423,2
1520,20170429,2
1520,20170501,2
1520,20170506,2
1520,20170507,2
1520,20170513,2
1520,20170514,2
1520,20170520,2
1520,20170521,2
1520,20170527,2
1520,20170528,2
1520,20170603,2
1520,20170605,2
1520,20170610,2
1520,20170611,2
1520,20170617,2
1520,20170618,2
1520,20170624,2
1520,20170625,2
1520,20170701,2
1520,20170702,2
1520,20170708,2
1520,20170709,2
1520,20170715,2
1520,20170716,2
1521,20170415,1
1521,20170417,1
1521,20170422,1
1521,20170423,1
1521,20170429,1
1521,20170501,1
1521,20170506,1
1521,20170507,1
1521,20170513,1
1521,20170514,1
1521,20170520,1
1521,20170521,1
1521,20170527,1
1521,20170528,1
1521,20170603,1
1521,20170605,1
1521,20170610,1
1521,20170611,1
1521,20170617,1
1521,20170618,1
1521,20170624,1
1521,20170625,1
1521,20170701,1
1521,20170702,1
1521,20170708,1
1521,20170709,1
1521,20170715,1
1521,20170716,1
1522,20170414,1
1522,20170415,2
1522,20170422,2
1522,20170423,2
1522,20170429,2
1522,20170506,2
1522,20170507,2
1522,20170513,2
1522,20170514,2
1522,20170520,2
1522,20170521,2
1522,20170525,1
1522,20170527,2
1522,20170528,2
1522,20170603,2
1522,20170610,2
1522,20170611,2
1522,20170617,2
1522,20170618,2
1522,20170624,2
1522,20170625,2
1522,20170701,2
1522,20170702,2
1522,20170708,2
1522,20170709,2
1522,20170715,2
1522,20170716,2
1522,20171003,1
1522,20171031,1
1523,20170414,2
1523,20170415,1
1523,20170422,1
1523,20170423,1
1523,20170429,1
1523,20170506,1
1523,20170507,1
1523,20170513,1
1523,20170514,1
1523,20170520,1
1523,20170521,1
1523,20170525,2
1523,20170527,1
1523,20170528,1
1523,20170603,1
1523,20170610,1
1523,20170611,1
1523,20170617,1
1523,20170618,1
1523,20170624,1
1523,20170625,1
1523,20170701,1
1523,20170702,1
1523,20170708,1
1523,20170709,1
1523,20170715,1
1523,20170716,1
1523,20171003,2
1523,20171031,2
1524,20170124,2
1524,20170125,2
1524,20170126,2
1524,20170129,2
1524,20170130,2
1524,20170131,2
1524,20170201,2
1524,20170202,2
1524,20170205,2
1525,20170130,2
1525,20170131,2
1525,20170201,2
1525,20170202,2
1525,20170203,2
1525,20170414,2
1525,20170415,2
1525,20170416,1
1525,20170417,2
1525,20170422,2
1525,20170429,2
1525,20170430,1
1525,20170501,2
1525,20170506,2
1525,20170513,2
1525,20170520,2
1525,20170525,2
1525,20170527,2
1525,20170603,2
1525,20170604,1
1525,20170605,2
1525,20170610,2
1525,20170617,2
1525,20170624,2
1525,20170701,2
1525,20170708,2
1525,20170715,2
1525,20171003,2
1525,20171031,2
1526,20170415,2
1526,20170417,2
1526,20170422,2
1526,20170423,2
1526,20170429,2
1526,20170501,2
1526,20170506,2
1526,20170507,2
1526,20170513,2
1526,20170514,2
1526,20170520,2
1526,20170521,2
1526,20170527,2
1526,20170528,2
1526,20170603,2
1526,20170605,2
1526,20170610,2
1526,20170611,2
1526,20170617,2
1526,20170618,2
1526,20170624,2
1526,20170625,2
1526,20170701,2
1526,20170702,2
1526,20170708,2
1526,20170709,2
1526,20170715,2
1526,20170716,2
1527,20170414,1
1527,20170415,1
1527,20170416,2
1527,20170417,1
1527,20170422,1
1527,20170429,1
1527,20170430,2
1527,20170501,1
1527,20170506,1
1527,20170513,1
1527,20170520,1
1527,20170525,1
1527,20170527,1
1527,20170603,1
1527,20170604,2
1527,20170605,1
1527,20170610,1
1527,20170617,1
1527,20170624,1
1527,20170701,1
1527,20170708,1
1527,20170715,1
1527,20171003,1
1527,20171031,1
1528,20170119,2
1528,20170120,2
1528,20170123,2
1528,20170124,2
1528,20170125,2
1528,20170126,2
1528,20170127,2
1528,20170130,2
1528,20170131,2
1528,20170201,2
1528,20170202,2
1528,20170203,2
1528,20170206,2
1528,20170207,2
1528,20170208,2
1528,20170209,2
1528,20170210,2
1528,20170213,2
1528,20170214,2
1528,20170215,2
1528,20170216,2
1528,20170217,2
1528,20170220,2
1528,20170414,2
1528,20170417,2
1528,20170501,2
1528,20170525,2
1528,20170605,2
1528,20171003,2
1528,20171031,2
1529,20170119,1
1529,20170120,1
1529,20170123,1
1529,20170124,1
1529,20170125,1
1529,20170126,1
1529,20170127,1
1529,20170130,1
1529,20170131,1
1529,20170201,1
1529,20170202,1
1529,20170203,1
1529,20170206,1
1529,20170207,1
1529,20170208,1
1529,20170209,1
1529,20170210,1
1529,20170213,1
1529,20170214,1
1529,20170215,1
1529,20170216,1
1529,20170217,1
1529,20170220,1
1530,20170220,1
1531,20170220,2
1532,20170220,2
1532,20170413,2
1532,20170414,1
1532,20170416,2
1532,20170430,2
1532,20170524,2
1532,20170604,2
1532,20171002,2
1532,20171030,2
1533,20170220,2
1533,20170414,2
1533,20170416,1
1533,20170417,2
1533,20170430,1
1533,20170501,2
1533,20170525,2
1533,20170604,1
1533,20170605,2
1533,20171003,2
1533,20171031,2
1534,20170122,2
1534,20170129,2
1534,20170414,1
1534,20170416,2
1534,20170417,1
1534,20170430,2
1534,20170501,1
1534,20170525,1
1534,20170604,2
1534,20170605,1
1534,20171003,1
1534,20171031,1
1535,20170204,1
1535,20170218,1
1536,20170204,2
1536,20170218,2
1537,20170120,2
1537,20170127,2
1537,20170204,1
1537,20170218,1
1537,20170413,1
1537,20170414,2
1537,20170524,1
1537,20171002,1
1537,20171030,1
1538,20170120,1
1538,20170127,1
1538,20170204,2
1538,20170218,2
1538,20170413,2
1538,20170414,1
1538,20170524,2
1538,20171002,2
1538,20171030,2
1539,20170120,2
1539,20170127,2
1539,20170413,1
1539,20170414,2
1539,20170524,1
1539,20171002,1
1539,20171030,1
1540,20170204,2
1540,20170218,2
1540,20170220,2
1540,20170413,2
1540,20170414,1
1540,20170524,2
1540,20171002,2
1540,20171030,2
1541,20170125,2
1541,20170126,2
1541,20170129,2
1541,20170130,2
1541,20170131,2
1541,20170201,2
1541,20170202,2
1541,20170205,2
1541,20170206,2
1541,20170220,2
1542,20170125,1
1542,20170126,1
1542,20170129,1
1542,20170130,1
1542,20170131,1
1542,20170201,1
1542,20170202,1
1542,20170205,1
1542,20170206,1
1543,20170126,2
1543,20170130,2
1543,20170220,2
1543,20170413,2
1543,20170414,1
1543,20170416,2
1543,20170430,2
1543,20170524,2
1543,20170604,2
1543,20171002,2
1543,20171030,2
1544,20170126,1
1544,20170130,1
1545,20170126,2
1545,20170413,2
1545,20170414,1
1545,20170416,2
1545,20170430,2
1545,20170524,2
1545,20170604,2
1545,20171002,2
1545,20171030,2
1546,20170125,2
1546,20170126,2
1546,20170130,2
1546,20170131,2
1546,20170201,2
1546,20170202,2
1546,20170206,2
1546,20170207,2
1546,20170208,2
1546,20170209,2
1546,20170212,2
1546,20170213,2
1546,20170214,2
1546,20170215,2
1546,20170216,2
1546,20170220,2
1546,20170413,2
1546,20170414,1
1546,20170416,2
1546,20170430,2
1546,20170524,2
1546,20170604,2
1546,20171002,2
1546,20171030,2
1547,20170212,2
1547,20170414,1
1547,20170416,2
1547,20170417,1
1547,20170430,2
1547,20170501,1
1547,20170525,1
1547,20170604,2
1547,20170605,1
1547,20171003,1
1547,20171031,1
1548,20170211,2
1548,20170416,1
1548,20170430,1
1548,20170604,1
1549,20170210,2
1549,20170211,2
1549,20170413,1
1549,20170414,2
1549,20170416,1
1549,20170430,1
1549,20170524,1
1549,20170604,1
1549,20171002,1
1549,20171030,1
1550,20170211,2
1550,20170414,2
1550,20170416,1
1550,20170417,2
1550,20170430,1
1550,20170501,2
1550,20170525,2
1550,20170604,1
1550,20170605,2
1550,20171003,2
1550,20171031,2
1551,20170204,2
1551,20170211,2
1551,20170212,2
1552,20170204,2
1552,20170211,2
1552,20170212,2
1552,20170414,1
1552,20170417,1
1552,20170501,1
1552,20170525,1
1552,20170605,1
1552,20171003,1
1552,20171031,1
1553,20170126,1
1553,20170130,1
1553,20170131,1
1553,20170201,1
1553,20170202,1
1553,20170206,1
1553,20170207,1
1553,20170208,1
1553,20170209,1
1553,20170213,1
1553,20170214,1
1553,20170215,1
1553,20170216,1
1553,20170220,1
1554,20170126,2
1554,20170130,2
1554,20170131,2
1554,20170201,2
1554,20170202,2
1554,20170206,2
1554,20170207,2
1554,20170208,2
1554,20170209,2
1554,20170210,2
1554,20170211,2
1554,20170212,2
1554,20170213,2
1554,20170214,2
1554,20170215,2
1554,20170216,2
1554,20170220,2
1555,20170125,2
1555,20170126,2
1555,20170130,2
1555,20170131,2
1555,20170201,2
1555,20170202,2
1555,20170206,2
1555,20170207,2
1555,20170208,2
1555,20170209,2
1555,20170210,2
1555,20170211,2
1555,20170212,2
1555,20170213,2
1555,20170214,2
1555,20170215,2
1555,20170216,2
1555,20170220,2
1556,20170125,2
1556,20170126,2
1556,20170130,2
1556,20170131,2
1556,20170201,2
1556,20170202,2
1556,20170206,2
1556,20170207,2
1556,20170208,2
1556,20170209,2
1556,20170213,2
1556,20170214,2
1556,20170215,2
1556,20170216,2
1556,20170220,2
1556,20170413,2
1556,20170414,1
1556,20170416,2
1556,20170430,2
1556,20170524,2
1556,20170604,2
1556,20171002,2
1556,20171030,2
1557,20170125,2
1557,20170126,2
1557,20170130,2
1557,20170131,2
1557,20170201,2
1557,20170202,2
1557,20170206,2
1557,20170207,2
1557,20170208,2
1557,20170209,2
1557,20170211,2
1557,20170212,2
1557,20170213,2
1557,20170214,2
1557,20170215,2
1557,20170216,2
1557,20170220,2
1558,20170119,1
1558,20170126,1
1558,20170127,1
1558,20170131,1
1558,20170201,1
1558,20170202,1
1558,20170203,1
1558,20170207,1
1558,20170208,1
1558,20170209,1
1558,20170214,1
1558,20170215,1
1558,20170216,1
1558,20170217,1
1559,20170119,2
1559,20170126,2
1559,20170127,2
1559,20170131,2
1559,20170201,2
1559,20170202,2
1559,20170203,2
1559,20170207,2
1559,20170208,2
1559,20170209,2
1559,20170214,2
1559,20170215,2
1559,20170216,2
1559,20170217,2
1559,20170414,2
1559,20170417,2
1559,20170501,2
1559,20170525,2
1559,20170605,2
